No.,Date,Time,LT101 ,Unit,LT102 ,Unit,LT103 ,Unit,pH101 ,Unit,Temp101 ,Unit,ORP101 ,Unit,CO2101 ,Unit,DO101_L ,Unit,DO101_ER ,Unit,DO102_ER ,Unit,DO101_IR ,Unit,DO102_IR ,Unit,DO101_AR ,Unit,DO102_AR ,Unit,DO103_AR ,Unit,ADMIN ,Unit,USER01 ,Unit,USER02 ,Unit,USER03 ,Unit,USER04 ,Unit,USER05 ,Unit,USER06 ,Unit,USER07 ,Unit,USER08 ,Unit,USER09 ,Unit,USER10 ,Unit
1,2022-02-09,00:00:00,46.60,IN,40.21,IN ,80.02,IN ,7.42,%SAT ,13.26,%SAT ,277.32,orp ,1.51,%SAT ,134.68,%SAT ,97.59,%SAT ,99.81,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,20000000,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd 
2,2022-02-09,00:03:00,44.34,IN,40.57,IN ,80.04,IN ,7.42,%SAT ,13.27,%SAT ,277.57,orp ,1.50,%SAT ,134.66,%SAT ,97.63,%SAT ,98.66,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,20000000,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd 
3,2022-02-09,00:06:00,43.64,IN,40.57,IN ,79.95,IN ,7.42,%SAT ,13.26,%SAT ,277.50,orp ,1.53,%SAT ,134.73,%SAT ,97.68,%SAT ,97.81,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,20000000,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd 
4,2022-02-09,00:09:00,42.21,IN,40.25,IN ,80.05,IN ,7.42,%SAT ,13.26,%SAT ,277.81,orp ,1.56,%SAT ,134.85,%SAT ,97.68,%SAT ,96.54,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,20000000,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd 
5,2022-02-09,00:12:00,39.84,IN,40.77,IN ,80.05,IN ,7.42,%SAT ,13.26,%SAT ,277.81,orp ,1.55,%SAT ,134.91,%SAT ,97.69,%SAT ,95.78,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,20000000,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd 
6,2022-02-09,00:15:00,40.34,IN,40.77,IN ,79.88,IN ,7.42,%SAT ,13.26,%SAT ,277.32,orp ,1.50,%SAT ,134.98,%SAT ,97.68,%SAT ,94.66,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,20000000,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd 
7,2022-02-09,00:18:00,40.52,IN,40.62,IN ,79.96,IN ,7.42,%SAT ,13.26,%SAT ,277.38,orp ,1.52,%SAT ,135.02,%SAT ,97.68,%SAT ,93.76,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,20000000,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd 
8,2022-02-09,00:21:00,40.42,IN,40.63,IN ,79.85,IN ,7.42,%SAT ,13.26,%SAT ,277.38,orp ,1.52,%SAT ,135.01,%SAT ,97.67,%SAT ,93.22,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,20000000,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd 
9,2022-02-09,00:24:00,40.67,IN,40.95,IN ,79.99,IN ,7.42,%SAT ,13.26,%SAT ,277.57,orp ,1.55,%SAT ,135.09,%SAT ,97.67,%SAT ,92.08,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,20000000,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd 
10,2022-02-09,00:27:00,40.80,IN,40.51,IN ,80.02,IN ,7.42,%SAT ,13.26,%SAT ,277.50,orp ,1.57,%SAT ,135.09,%SAT ,97.64,%SAT ,91.48,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,20000000,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd 
11,2022-02-09,00:30:00,40.90,IN,40.60,IN ,80.03,IN ,7.42,%SAT ,13.26,%SAT ,277.93,orp ,1.51,%SAT ,135.06,%SAT ,97.62,%SAT ,90.64,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,20000000,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd 
12,2022-02-09,00:33:00,40.69,IN,40.62,IN ,80.04,IN ,7.42,%SAT ,13.25,%SAT ,277.81,orp ,1.49,%SAT ,134.99,%SAT ,97.61,%SAT ,90.29,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,20000000,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd 
13,2022-02-09,00:36:00,40.72,IN,40.55,IN ,79.96,IN ,7.42,%SAT ,13.25,%SAT ,277.57,orp ,1.52,%SAT ,135.02,%SAT ,97.59,%SAT ,89.72,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,0.00,%SAT ,20000000,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd ,0,mmdd 
